Aircraft type Id,Short name,Manufacturer,Model name,ICAO code,IATA code,Handling category,Fuel type,Fuel process,Max fuel capacity in liter,MTOW kg,MTOW ton,Wing span in meter,Wing area in m2,Length in meter,Height in meter,Number of seats,Range in km,De-ice category,Noise chapter,Noise category,Hanger category,Ground power type,Remarks,Export values,Number of engines,MTOW in US Pounds
29b6e1de-996c-4679-82a4-e89e457d5064,B737-900,Boeing,737-900,B739,,C_JP5,Jet Fuel,Pressure,,80000,80,34.3,,42.11,,189,,C,,,,115V/AC - 220V/DC,ADP GA :,JP Handling Category(Japan): 5,2,176370
328059e1-6162-4502-aa7b-5f7e4d0f4c8e,B747-100,Boeing,747-100,B741,,C06,Jet Fuel,Pressure,,342000,342,,,,,452,,E,,,,115V/AC - 220V/DC,ADP GA : 3,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, Singapore WSSS PF(Singapore): 209.55",4,753981
2114dc5c-16ad-4ce4-a4fb-e1cee5779601,B747-200,Boeing,747-200,B742,,C06,Jet Fuel,Pressure,,378000,378,,,,,480,,E,,,,115V/AC - 220V/DC,ADP GA : 3,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, MLW(Hawaii): 450000, Singapore WSSS PF(Singapore): 202.60",4,833347
91619305-8c0e-437b-8251-f4de3961e381,B747-200F,Boeing,747-200 Freighter,B742,,C06,,,,378000,378,,,,,0,,,,,,,,MDJB - MDLR Handling(Dominican Republic): CAT IX,,833347
6b5d989a-3d1d-4a31-a8fa-18a4060fe412,B747-300,Boeing,747-300,B743,,C06,Jet Fuel,Pressure,,377800,378,,,,,470,,E,,,,115V/AC - 220V/DC,ADP GA : 4,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, MLW(Hawaii): 585000, Singapore WSSS PF(Singapore): 209.55",4,832906
6a535828-593c-4c94-89ff-ff6d625dfa2a,B747-300C,Boeing,747-300 Combi,B743,,C06,Jet Fuel,Pressure,,377800,378,,,,,470,,E,,,,115V/AC - 220V/DC,,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, Singapore WSSS PF(Singapore): 209.55",4,832906
69a430d5-e01d-42bb-8b07-a969206a5cc0,B747-300F,Boeing,747-300 Freighter,B743,,C06,Jet Fuel,Pressure,,377800,378,,,,,565,,E,,,,115V/AC - 220V/DC,,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, Singapore WSSS PF(Singapore): 209.55",4,832906
7025cb5f-cae4-4b42-90e5-682cca51f57a,B747-400,Boeing,747-400,B744,,C_JP1,Jet Fuel,Pressure,,395000,395,,,,,416,,E,,,,115V/AC - 220V/DC,ADP GA : 4,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, Noise cat EGSS(STANSTED): CH3high, Singapore WSSS PF(Singapore): 224.10",4,870826
55395410-6396-4b1a-a03c-3f08f06a24d4,B747-400C,Boeing,747-400 Combi,B744,,C_JP1,Jet Fuel,Overwing,0,413000,413,,0,,,275,,E,,,,115V/AC - 220V/DC,,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, Singapore WSSS PF(Singapore): 224.10",4,910509
7b7d98b8-87bc-4575-9967-8096323d5fff,B747-400F,Boeing,747-400 Freighter,B744,,C_JP1,Jet Fuel,Pressure,,396900,397,,,,,524,,E,,,,115V/AC - 220V/DC,,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, Singapore WSSS PF(Singapore): 224.10",,875015
5146767c-0fb8-4b31-85f7-2479269502f5,B747-8,Boeing,747-8,B748,,C_JP1,,,,447696,448,,,,,467,,,,,,,http://www.boeing.com/boeing/commercial/747family/747-8_fact_sheet.page,"JP Handling Category(Japan): 1, MDJB - MDLR Handling(Dominican Republic): CAT IX, Singapore WSSS PF(Singapore): 250.60",,987001
3a6c5f6a-24c8-4be4-b795-d32defed0b6e,B747SP,Boeing,747SP,B74S,,C_JP2,Jet Fuel,Pressure,,316000,316,,,,,440,,E,,,,115V/AC - 220V/DC,ADP GA : 3,"JP Handling Category(Japan): 2, Noise cat EGSS(STANSTED): CH3high, Singapore WSSS PF(Singapore): 165.90",4,696661
